,filename,time,w_pre,w
63,MOD05_L2.A2014008.2230.061.2017308040852.hdf,20140082230,-9999.0,-9.999000474927016
64,MOD05_L2.A2014009.0010.061.2017308040911.hdf,20140090010,-9999.0,-9.999000474927016
65,MOD05_L2.A2014009.1150.061.2017308041344.hdf,20140091150,-9999.0,-9.999000474927016
66,MOD05_L2.A2014009.1330.061.2017308041056.hdf,20140091330,-9999.0,-9.999000474927016
67,MOD05_L2.A2014009.1505.061.2017308041040.hdf,20140091505,-9999.0,-9.999000474927016
68,MOD05_L2.A2014009.1645.061.2017308041319.hdf,20140091645,-9999.0,-9.999000474927016
69,MOD05_L2.A2014009.1820.061.2017308041117.hdf,20140091820,-9999.0,-9.999000474927016
70,MOD05_L2.A2014009.2000.061.2017308041151.hdf,20140092000,-9999.0,-9.999000474927016
71,MOD05_L2.A2014009.2135.061.2017308041134.hdf,20140092135,-9999.0,-9.999000474927016
72,MOD05_L2.A2014009.2315.061.2017308041338.hdf,20140092315,-9999.0,-9.999000474927016
73,MOD05_L2.A2014010.1235.061.2017308041623.hdf,20140101235,-9999.0,-9.999000474927016
74,MOD05_L2.A2014010.1410.061.2017308041751.hdf,20140101410,-9999.0,-9.999000474927016
75,MOD05_L2.A2014010.1550.061.2017308041937.hdf,20140101550,-9999.0,-9.999000474927016
76,MOD05_L2.A2014010.1725.061.2017308041745.hdf,20140101725,-9999.0,-9.999000474927016
77,MOD05_L2.A2014010.1905.061.2017308042005.hdf,20140101905,-9999.0,-9.999000474927016
78,MOD05_L2.A2014010.2040.061.2017308041851.hdf,20140102040,-9999.0,-9.999000474927016
79,MOD05_L2.A2014010.2220.061.2017308041858.hdf,20140102220,-9999.0,-9.999000474927016
80,MOD05_L2.A2014011.0000.061.2017308041912.hdf,20140110000,-9999.0,-9.999000474927016
81,MOD05_L2.A2014011.1140.061.2017308042252.hdf,20140111140,-9999.0,-9.999000474927016
82,MOD05_L2.A2014011.1315.061.2017308042321.hdf,20140111315,-9999.0,-9.999000474927016
83,MOD05_L2.A2014011.1455.061.2017308042349.hdf,20140111455,-9999.0,-9.999000474927016
84,MOD05_L2.A2014011.1630.061.2017308042419.hdf,20140111630,-9999.0,-9.999000474927016
85,MOD05_L2.A2014011.1810.061.2017308042454.hdf,20140111810,-9999.0,-9.999000474927016
86,MOD05_L2.A2014011.1945.061.2017308042522.hdf,20140111945,-9999.0,-9.999000474927016
87,MOD05_L2.A2014011.2125.061.2017308042549.hdf,20140112125,-9999.0,-9.999000474927016
88,MOD05_L2.A2014011.2300.061.2017308042623.hdf,20140112300,-9999.0,-9.999000474927016
89,MOD05_L2.A2014012.1220.061.2017308044338.hdf,20140121220,-9999.0,-9.999000474927016
90,MOD05_L2.A2014012.1400.061.2017308044418.hdf,20140121400,-9999.0,-9.999000474927016
91,MOD05_L2.A2014012.1540.061.2017308044437.hdf,20140121540,-9999.0,-9.999000474927016
92,MOD05_L2.A2014012.1715.061.2017308044509.hdf,20140121715,-9999.0,-9.999000474927016
93,MOD05_L2.A2014012.1850.061.2017308044527.hdf,20140121850,-9999.0,-9.999000474927016
94,MOD05_L2.A2014012.2030.061.2017308044553.hdf,20140122030,-9999.0,-9.999000474927016
95,MOD05_L2.A2014012.2205.061.2017308044623.hdf,20140122205,-9999.0,-9.999000474927016
96,MOD05_L2.A2014012.2345.061.2017308044642.hdf,20140122345,-9999.0,-9.999000474927016
97,MOD05_L2.A2014013.1125.061.2017308045032.hdf,20140131125,-9999.0,-9.999000474927016
98,MOD05_L2.A2014013.1305.061.2017308045029.hdf,20140131305,-9999.0,-9.999000474927016
99,MOD05_L2.A2014013.1445.061.2017308045113.hdf,20140131445,-9999.0,-9.999000474927016
100,MOD05_L2.A2014013.1620.061.2017308045110.hdf,20140131620,-9999.0,-9.999000474927016
101,MOD05_L2.A2014013.1755.061.2017308045150.hdf,20140131755,-9999.0,-9.999000474927016
102,MOD05_L2.A2014013.1935.061.2017308045208.hdf,20140131935,-9999.0,-9.999000474927016
103,MOD05_L2.A2014013.2110.061.2017308045226.hdf,20140132110,-9999.0,-9.999000474927016
104,MOD05_L2.A2014013.2250.061.2017308045326.hdf,20140132250,-9999.0,-9.999000474927016
105,MOD05_L2.A2014014.0030.061.2017308115240.hdf,20140140030,-9999.0,-9.999000474927016
106,MOD05_L2.A2014014.1210.061.2017308115043.hdf,20140141210,-9999.0,-9.999000474927016
107,MOD05_L2.A2014014.1350.061.2017308114942.hdf,20140141350,-9999.0,-9.999000474927016
108,MOD05_L2.A2014014.1525.061.2017308114906.hdf,20140141525,-9999.0,-9.999000474927016
109,MOD05_L2.A2014014.1705.061.2017308114856.hdf,20140141705,-9999.0,-9.999000474927016
110,MOD05_L2.A2014014.1840.061.2017308114741.hdf,20140141840,-9999.0,-9.999000474927016
111,MOD05_L2.A2014014.2015.061.2017308114905.hdf,20140142015,-9999.0,-9.999000474927016
112,MOD05_L2.A2014014.2155.061.2017308114833.hdf,20140142155,-9999.0,-9.999000474927016
113,MOD05_L2.A2014014.2335.061.2017308114659.hdf,20140142335,-9999.0,-9.999000474927016
114,MOD05_L2.A2014015.1115.061.2017308114625.hdf,20140151115,-9999.0,-9.999000474927016
115,MOD05_L2.A2014015.1250.061.2017308114540.hdf,20140151250,-9999.0,-9.999000474927016
116,MOD05_L2.A2014015.1430.061.2017308114508.hdf,20140151430,-9999.0,-9.999000474927016
117,MOD05_L2.A2014015.1610.061.2017308114407.hdf,20140151610,-9999.0,-9.999000474927016
118,MOD05_L2.A2014015.1745.061.2017308114331.hdf,20140151745,-9999.0,-9.999000474927016
119,MOD05_L2.A2014015.1920.061.2017308114300.hdf,20140151920,-9999.0,-9.999000474927016
120,MOD05_L2.A2014015.2100.061.2017308114259.hdf,20140152100,-9999.0,-9.999000474927016
121,MOD05_L2.A2014015.2240.061.2017308114402.hdf,20140152240,-9999.0,-9.999000474927016
122,MOD05_L2.A2014016.0015.061.2017308114358.hdf,20140160015,-9999.0,-9.999000474927016
123,MOD05_L2.A2014016.1155.061.2017308115325.hdf,20140161155,-9999.0,-9.999000474927016
124,MOD05_L2.A2014016.1335.061.2017308115530.hdf,20140161335,-9999.0,-9.999000474927016
125,MOD05_L2.A2014016.1515.061.2017308115500.hdf,20140161515,-9999.0,-9.999000474927016
126,MOD05_L2.A2014016.1650.061.2017308115329.hdf,20140161650,-9999.0,-9.999000474927016
127,MOD05_L2.A2014016.1830.061.2017308115426.hdf,20140161830,-9999.0,-9.999000474927016
128,MOD05_L2.A2014016.2005.061.2017308115444.hdf,20140162005,-9999.0,-9.999000474927016
129,MOD05_L2.A2014016.2140.061.2017308115423.hdf,20140162140,-9999.0,-9.999000474927016
130,MOD05_L2.A2014016.2320.061.2017308115336.hdf,20140162320,-9999.0,-9.999000474927016
131,MOD05_L2.A2014017.1240.061.2017308120645.hdf,20140171240,-9999.0,-9.999000474927016
